Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan,,% Male_0_4,% Male_5_11,% Male_12_17,% Male_60,% Female_0_4,% Female_5_11,% Female_12_17,% Female_18_59,% Female_60
Kambioos,Kenya,40.393056,-0.044167,11/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=603.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2020th%20Nov%202011.pdf",10213,2188,1357,1689,655,122,1273,1434,476,1790,158,,46,10167,,,,13.29,16.54,6.41,1.19,12.46,14.04,4.66,17.53,1.55
Dagahaley,Kenya,40.2881,0.191389,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",124846,36675,12778,17295,8301,1974,12619,16272,7286,25499,2167,52,5087,119633,71,3,124846,10.24,13.85,6.65,1.58,10.11,13.03,5.84,20.42,1.74
Hagadera,Kenya,40.35,0.001111,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",140789,44449,13258,16771,10130,2351,12578,15788,8290,30659,2497,,3652,137127,2,4,,9.42,11.91,7.2,1.67,8.93,11.21,5.89,21.78,1.77
Ifo,Kenya,40.3131,0.108611,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",122995,40743,11340,14680,8475,2221,11102,13959,7136,26527,2327,5,8758,113023,931,62,,9.22,11.94,6.89,1.81,9.03,11.35,5.8,21.57,1.89
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",27499,6612,3712,4175,1651,408,3570,3780,1247,4974,426,,136,27363,,,,13.5,15.18,6,1.48,12.98,13.75,4.53,18.09,1.55
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",37161,9314,5135,5469,2055,542,4786,4927,1597,6970,626,,446,36714,,,,13.82,14.72,5.53,1.46,12.88,13.26,4.3,18.76,1.68
Kambioos,Kenya,40.393056,-0.044167,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",10222,2182,1362,1687,654,121,1275,1436,478,1792,159,,46,10176,,,,13.32,16.5,6.4,1.18,12.47,14.05,4.68,17.53,1.56
Dagahaley,Kenya,40.2881,0.191389,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",124442,36566,12719,17248,6285,1967,12559,16222,7276,25411,2159,51,5086,119231,71,3,,10.22,13.86,5.05,1.58,10.09,13.04,5.85,20.42,1.73
Hagadera,Kenya,40.35,0.001111,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",140681,44446,13234,16764,10132,2351,12551,15779,8290,30625,2496,,3655,137016,2,4,,9.41,11.92,7.2,1.67,8.92,11.22,5.89,21.77,1.77
Ifo,Kenya,40.3131,0.108611,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",122607,40653,11282,14640,8442,2211,11046,13922,7120,26453,2323,5,8747,112646,931,62,,9.2,11.94,6.89,1.8,9.01,11.35,5.81,21.58,1.89
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",28282,6800,3816,4291,1703,426,3674,6877,1280,5121,439,,140,28142,,,,13.49,15.17,6.02,1.51,12.99,24.32,4.53,18.11,1.55
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",37115,9295,5131,5460,2053,542,4782,4923,1591,6959,625,,446,36668,1,,,13.82,14.71,5.53,1.46,12.88,13.26,4.29,18.75,1.68
Kambioos,Kenya,40.393056,-0.044167,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",10384,2213,1386,1710,660,122,1296,1461,488,1822,160,,46,10338,,,,13.35,16.47,6.36,1.17,12.48,14.07,4.7,17.55,1.54
Melkadida,Ethiopia,41.703053,4.523053,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,40260,9931,4935,6794,2381,434,4756,6528,2333,7746,433,,,,,,,12.26,16.88,5.91,1.08,11.81,16.21,5.79,19.24,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,37803,9493,4491,6124,2493,405,4492,5870,2136,7328,381,,,,,,,11.88,16.2,6.59,1.07,11.88,15.53,5.65,19.38,1.01
Kobe,Ethiopia,41.7469,4.481,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,25831,5882,3434,4051,1416,391,3284,3703,1195,4845,380,,,,,,,13.29,15.68,5.48,1.51,12.71,14.34,4.63,18.76,1.47
Helawein,Ethiopia,41.8622,4.369878,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,25851,5895,3435,4053,1416,395,3285,3705,1196,4847,381,,,,,,,13.29,15.68,5.48,1.53,12.71,14.33,4.63,18.75,1.47
Melkadida,Ethiopia,41.703053,4.523053,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,40260,9931,4935,6794,2381,434,4756,6528,2333,7746,433,,,,,,,12.26,16.88,5.91,1.08,11.81,16.21,5.79,19.24,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,37803,9493,4491,6124,2493,405,4492,5870,2136,7328,381,,,,,,,11.88,16.2,6.59,1.07,11.88,15.53,5.65,19.38,1.01
Kobe,Ethiopia,41.7469,4.481,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,25831,5882,3434,4051,1416,391,3284,3703,1195,4845,380,,,,,,,13.29,15.68,5.48,1.51,12.71,14.34,4.63,18.76,1.47
Helawein,Ethiopia,41.8622,4.369878,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,25851,5895,3435,4053,1416,395,3285,3705,1196,4847,381,,,,,,,13.29,15.68,5.48,1.53,12.71,14.33,4.63,18.75,1.47
Melkadida,Ethiopia,41.703053,4.523053,11/21/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=608.pdf&name=Dollo%20Ado%20Population%20Statistics%2021%20Nov.pdf,40260,9931,4935,6794,2381,434,4756,6528,2333,7746,433,,,,,,,12.26,16.88,5.91,1.08,11.81,16.21,5.79,19.24,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,11/21/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=608.pdf&name=Dollo%20Ado%20Population%20Statistics%2021%20Nov.pdf,37803,9493,4491,6124,2493,405,4492,5870,2136,7328,381,,,,,,,11.88,16.2,6.59,1.07,11.88,15.53,5.65,19.38,1.01
Kobe,Ethiopia,41.7469,4.481,11/21/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=608.pdf&name=Dollo%20Ado%20Population%20Statistics%2021%20Nov.pdf,25831,5882,3434,4051,1416,391,3284,3703,1195,4845,380,,,,,,,13.29,15.68,5.48,1.51,12.71,14.34,4.63,18.76,1.47
Bokolmanyo,Ethiopia,41.53275,4.546786,10/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=514.pdf&name=Dollo_Ado_Population_Statistics_17_Oct_2011.pdf,37714,9480,4453,6121,2486,402,4455,5871,2135,7331,381,,,,,,,11.81,16.23,6.59,1.07,11.81,15.57,5.66,19.44,1.01
Melkadida,Ethiopia,41.703053,4.523053,10/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=514.pdf&name=Dollo_Ado_Population_Statistics_17_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=514.pdf&name=Dollo_Ado_Population_Statistics_17_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=514.pdf&name=Dollo_Ado_Population_Statistics_17_Oct_2011.pdf,24816,5869,3381,3798,1363,277,3293,3743,1243,4747,262,,,,,,,13.62,15.3,5.49,1.12,13.27,15.08,5.01,19.13,1.06
Bokolmanyo,Ethiopia,41.53275,4.546786,10/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=501.pdf&name=Dollo_Ado_Population_Statistics_15_Oct_2011.pdf,37714,9480,4453,6121,2486,402,4455,5871,2135,7331,381,,,,,,,11.81,16.23,6.59,1.07,11.81,15.57,5.66,19.44,1.01
Melkadida,Ethiopia,41.703053,4.523053,10/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=501.pdf&name=Dollo_Ado_Population_Statistics_15_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=501.pdf&name=Dollo_Ado_Population_Statistics_15_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/15/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=501.pdf&name=Dollo_Ado_Population_Statistics_15_Oct_2011.pdf,24816,5869,3381,3798,1363,277,3293,3743,1243,4747,262,,,,,,,13.62,15.3,5.49,1.12,13.27,15.08,5.01,19.13,1.06
Bokolmanyo,Ethiopia,41.53275,4.546786,10/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=500.pdf&name=Dollo_Ado_Population_Statistics_13_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=500.pdf&name=Dollo_Ado_Population_Statistics_13_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Helawein,Ethiopia,41.8622,4.369878,10/13/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=500.pdf&name=Dollo_Ado_Population_Statistics_13_Oct_2011.pdf,23933,5640,3329,3661,1321,272,3163,3630,1212,4574,255,,,,,,,13.91,15.3,5.52,1.14,13.22,15.17,5.06,19.11,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,37667,9453,4451,6114,2476,403,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.07,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,25687,5851,3393,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/12/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,23933,5640,3239,3661,1321,272,3136,3630,1212,4574,255,,,,,,,13.53,15.3,5.52,1.14,13.1,15.17,5.06,19.11,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=493.pdf&name=Dollo_Ado_Population_Statistics_12_Oct_2011.pdf,23933,5640,3239,3661,1325,272,3163,3630,1212,4574,255,,,,,,,13.53,15.3,5.54,1.14,13.22,15.17,5.06,19.11,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/11/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=481.pdf&name=Dollo_Ado_Population_Statistics_11_Oct_2011.pdf,23933,5640,3239,3661,1321,272,3163,3630,1212,4574,255,,,,,,,13.53,15.3,5.52,1.14,13.22,15.17,5.06,19.11,1.07
Bokolmanyo,Ethiopia,41.53275,4.546786,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=482.pdf&name=Dollo_Ado_Population_Statistics_10_Oct_2011.pdf,22996,5426,3103,3513,1271,267,3018,3486,1162,4385,244,,,,,,,13.49,15.28,5.53,1.16,13.12,15.16,5.05,19.07,1.06
Bokolmanyo,Ethiopia,41.53275,4.546786,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/10/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,22996,5426,3103,3513,1271,267,3018,3486,1162,4385,244,,,,,,,13.49,15.28,5.53,1.16,13.12,15.16,5.05,19.07,1.06
Bokolmanyo,Ethiopia,41.53275,4.546786,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Melkadida,Ethiopia,41.703053,4.523053,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Kobe,Ethiopia,41.7469,4.481,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,25686,5849,3394,4051,1413,390,3210,3704,1195,4842,380,,,,,,,13.21,15.77,5.5,1.52,12.5,14.42,4.65,18.85,1.48
Helawein,Ethiopia,41.8622,4.369878,10/8/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=462.pdf&name=Dollo_Ado_Population_Statistics_08_Oct_2011.pdf,22996,5426,3103,3513,1271,267,3018,3486,1162,4385,244,,,,,,,13.49,15.28,5.53,1.16,13.12,15.16,5.05,19.07,1.06
Melkadida,Ethiopia,41.703053,4.523053,10/6/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=459.pdf&name=Dollo_Ado_Population_Statistics_06_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,,,14.1,15.66,5.38,1.06,13.63,15.02,5.38,19.1,1.08
Bokolmanyo,Ethiopia,41.53275,4.546786,10/6/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=459.pdf&name=Dollo_Ado_Population_Statistics_06_Oct_2011.pdf,37667,9453,4451,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
